id,name,waterwayName,video_url_1,video_url_2,video_url_3,video_url_4,video_url_5
cmlhasls40024m2zhk53dsecy,Grand Portage,Lake Superior,https://www.youtube.com/watch?v=eKQ6dLU7f3g,https://www.youtube.com/watch?v=mDCnduvku8w,https://www.youtube.com/watch?v=shfYWGqZMak,,
cmlk1ohtp000lm2at4e9n5kau,Grande Décharge,St. Lawrence River,https://www.youtube.com/watch?v=0wgqmHpK2tc,https://www.youtube.com/watch?v=zuPSz5BK1Kg,https://www.youtube.com/watch?v=jrOu8qDFYjw,,
cmlizphiu0003m2ybn31j3yf2,Great Dog Portage,Kaministiquia River,https://www.youtube.com/watch?v=8xfq9tZ6OJM,https://www.youtube.com/watch?v=M7aMWyZrd3Q,https://www.youtube.com/watch?v=bAsW9QnEEE4,,
cmlk1ohsr0001m2atdr81i0k0,Hauteur des Terres,Ottawa River,https://www.youtube.com/watch?v=-E7wsRXAaqY,https://www.youtube.com/watch?v=uAbMfC7ZnUk,https://www.youtube.com/watch?v=41otftouNao,,
cmlhcpxoi001rm2a3o6bx74af,Kootenay House,Columbia River,https://www.youtube.com/watch?v=jdYIY6pT9Qs,https://www.youtube.com/watch?v=aaV7_BQ3k2s,https://www.youtube.com/watch?v=jHhS24ENiQM,,
cmlhci09d001nm2rxalbz2n3h,La Pérouse Memorial (Lituya Bay),Lituya Bay,https://www.youtube.com/watch?v=r7y76R8ggKw,https://www.youtube.com/watch?v=XGIXlk50yos,https://www.youtube.com/watch?v=Ph7ND3F0Zu4,,
cmlk1ohte000fm2at6rkrfsdz,La Vase Portages,Ottawa River,https://www.youtube.com/watch?v=-E7wsRXAaqY,https://www.youtube.com/watch?v=uAbMfC7ZnUk,https://www.youtube.com/watch?v=41otftouNao,,
cmlk1ohsu0003m2atw65xozuc,Long Sault Portage,Ottawa River,https://www.youtube.com/watch?v=-E7wsRXAaqY,https://www.youtube.com/watch?v=uAbMfC7ZnUk,https://www.youtube.com/watch?v=41otftouNao,,
cmlhcpxla000lm2a36zgze0vh,Lower Fort Garry,Red River,https://www.youtube.com/watch?v=UNjZLeB6ErQ,https://www.youtube.com/watch?v=kHee6KG9ucs,https://www.youtube.com/watch?v=S3mkG0OU2Mg,,
massacre_island_location,Massacre Island (Lake of the Woods),Lake of the Woods,https://www.youtube.com/watch?v=UoQdXDeQz3U,https://www.youtube.com/watch?v=Xf2Ph7nvoOA,https://www.youtube.com/watch?v=RTlfPlRc9cQ,,
